Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
73,Sterling Brown\brownst02,SG,22,MIL,54,4,776,3.8,9.5,0.4,1.5,4.2,0.352,2.3,5.3,0.439,1,1.1,0.875,1.3,5.4,6.6,1.2,1.4,0.6,1.2,3.7,10.1
74,Nicolas Brussino\brussni01,SF,24,ATL,4,0,10,0,7.2,0,0,7.2,0,0,0,,0,0,,0,10.8,10.8,0,0,0,0,0,0
75,Thomas Bryant\bryanth01,C,20,LAL,15,0,72,4,10.5,0.381,0.5,5,0.1,3.5,5.5,0.636,2.5,4.5,0.556,1.5,7,8.5,3,0.5,1,1,3,11
76,Reggie Bullock\bullore01,SF,26,DET,62,52,1732,5.5,11.3,0.489,2.6,5.8,0.445,3,5.5,0.536,0.8,1,0.796,0.6,2.6,3.2,2,1,0.3,1,1.5,14.5
77,Trey Burke\burketr01,PG,25,NYK,36,9,785,8.9,17.6,0.503,1.7,4.8,0.362,7.1,12.8,0.556,1.7,2.6,0.649,0.6,2.7,3.3,7.8,1.1,0.2,2,2,21.1
78,Alec Burks\burksal01,SG,26,UTA,64,1,1059,5.8,14.1,0.411,1.6,4.8,0.331,4.2,9.2,0.452,3.6,4.2,0.863,0.6,5.9,6.5,2.3,1.3,0.3,2,2.5,16.8
79,Jimmy Butler\butleji01,SG,28,MIN,59,59,2164,7.3,15.3,0.474,1.2,3.3,0.35,6.1,12,0.509,6,7.1,0.854,1.3,3.9,5.2,4.8,1.9,0.4,1.8,1.3,21.7
80,Dwight Buycks\buyckdw01,PG,28,DET,29,0,427,6.9,16.7,0.414,1.3,3.8,0.333,5.6,12.9,0.438,3,3.5,0.878,1,2.4,3.5,5,1.6,0.2,3.3,3.3,18.1
81,Bruno Caboclo\cabocbr01,SF,22,TOT,12,0,107,3,10.4,0.29,1,5.7,0.176,2,4.7,0.429,1.7,2,0.833,2.4,5,7.4,1.3,1,1.3,1.3,2.7,8.7
81,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,7,0,10.3,0,0,10.3,0,0,0,,0,0,,0,5.1,5.1,5.1,5.1,0,0,5.1,0
81,Bruno Caboclo\cabocbr01,SF,22,SAC,10,0,100,3.2,10.4,0.31,1.1,5.4,0.2,2.2,5,0.429,1.8,2.2,0.833,2.5,5,7.6,1.1,0.7,1.4,1.4,2.5,9.4
